name,epoch,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_s,val/coco/bbox_mAP_m,val/coco/bbox_mAP_l,val/coco/recall,val/coco/round_iou0.5_ap,val/coco/round_iou0.5_recall,val/coco/sharp_iou0.5_ap,val/coco/sharp_iou0.5_recall,gpu
yolov5-l,300.0,0.288,0.758,0.257,0.147,0.372,0.373,0.863,0.786,0.891,0.73,0.835,0.7885
yolov8-s,280.0,0.305,0.795,0.291,0.193,0.398,0.378,0.902,0.832,0.948,0.757,0.856,0.8413
yolov5-l-p6,300.0,0.297,0.783,0.268,0.184,0.387,0.429,0.888,0.812,0.915,0.754,0.862,0.7413
yolov5-x,300.0,0.29,0.761,0.26,0.154,0.375,0.421,0.865,0.785,0.89,0.736,0.84,0.7587
yolov5-x-p6,290.0,0.298,0.786,0.283,0.185,0.393,0.451,0.899,0.807,0.911,0.766,0.887,0.6573
yolov8-x,250.0,0.302,0.793,0.294,0.188,0.397,0.434,0.903,0.827,0.934,0.76,0.873,0.7647
yolov8-l,210.0,0.307,0.801,0.307,0.18,0.407,0.467,0.913,0.818,0.932,0.784,0.894,0.8018
yolov8-m,270.0,0.312,0.807,0.303,0.184,0.41,0.453,0.913,0.832,0.939,0.782,0.887,0.8262
yolov8-x-p6,230.0,0.301,0.798,0.285,0.176,0.397,0.445,0.907,0.823,0.931,0.773,0.883,0.625
yolov8-l-p6,300.0,0.3,0.792,0.284,0.162,0.395,0.397,0.896,0.82,0.92,0.764,0.872,0.6939
yolov8-s-p6,320.0,0.294,0.782,0.278,0.17,0.388,0.409,0.897,0.808,0.914,0.755,0.879,0.8327
yolov8-m-p6,300.0,0.304,0.802,0.299,0.187,0.402,0.385,0.907,0.831,0.943,0.772,0.871,0.7983
