name,epoch,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_s,val/coco/bbox_mAP_m,val/coco/bbox_mAP_l,val/coco/recall,val/coco/round_iou0.5_ap,val/coco/round_iou0.5_recall,val/coco/sharp_iou0.5_ap,val/coco/sharp_iou0.5_recall,gpu
yolov5-l,300.0,0.288,0.758,0.257,0.147,0.372,0.373,0.863,0.786,0.891,0.73,0.835,0.7885
yolov8-s,280.0,0.305,0.795,0.291,0.193,0.398,0.378,0.902,0.832,0.948,0.757,0.856,0.8413
yolov5-l-p6,300.0,0.297,0.783,0.268,0.184,0.387,0.429,0.888,0.812,0.915,0.754,0.862,0.7413
yolov5-x,300.0,0.29,0.761,0.26,0.154,0.375,0.421,0.865,0.785,0.89,0.736,0.84,0.7587
yolov5-x-p6,290.0,0.298,0.786,0.283,0.185,0.393,0.451,0.899,0.807,0.911,0.766,0.887,0.6573
yolov8-x,250.0,0.302,0.793,0.294,0.188,0.397,0.434,0.903,0.827,0.934,0.76,0.873,0.7647
yolov8-l,210.0,0.307,0.801,0.307,0.18,0.407,0.467,0.913,0.818,0.932,0.784,0.894,0.8018
yolov8-m,270.0,0.312,0.807,0.303,0.184,0.41,0.453,0.913,0.832,0.939,0.782,0.887,0.8262
yolov8-x-p6,230.0,0.301,0.798,0.285,0.176,0.397,0.445,0.907,0.823,0.931,0.773,0.883,0.625
yolov8-l-p6,300.0,0.3,0.792,0.284,0.162,0.395,0.397,0.896,0.82,0.92,0.764,0.872,0.6939
yolov8-s-p6,320.0,0.294,0.782,0.278,0.17,0.388,0.409,0.897,0.808,0.914,0.755,0.879,0.8327
yolov8-m-p6,300.0,0.304,0.802,0.299,0.187,0.402,0.385,0.907,0.831,0.943,0.772,0.871,0.7983
yolov8-l-p6-nms0.40,230.0,0.296,0.794,0.286,0.169,0.392,0.391,0.907,0.821,0.941,0.766,0.872,0.6941
yolov8-l-p6-nms0.45,300.0,0.303,0.804,0.289,0.184,0.399,0.402,0.91,0.838,0.945,0.769,0.874,0.7168
yolov8-l-p6-nms0.50,320.0,0.297,0.802,0.275,0.196,0.392,0.453,0.912,0.837,0.945,0.768,0.879,0.6996
yolov8-l-p6-nms0.55,200.0,0.302,0.801,0.289,0.176,0.402,0.413,0.913,0.826,0.937,0.776,0.889,0.7109
yolov8-l-p6-nms0.60,290.0,0.303,0.806,0.285,0.181,0.401,0.418,0.915,0.834,0.931,0.779,0.899,0.7061
yolov8-l-p6-nms0.65,330.0,0.298,0.8,0.285,0.204,0.393,0.362,0.904,0.835,0.94,0.765,0.868,0.6953
yolov8-l-p6-nms0.70,270.0,0.302,0.795,0.292,0.177,0.395,0.418,0.903,0.81,0.908,0.78,0.898,0.704
yolov8-l-p6-nms0.75,270.0,0.297,0.786,0.289,0.187,0.392,0.481,0.896,0.827,0.931,0.744,0.86,0.6992
yolov8-l-p6-nms0.80,240.0,0.296,0.784,0.289,0.191,0.393,0.46,0.9,0.821,0.945,0.748,0.856,0.6982
yolov8-l-p6-nms0.85,330.0,0.294,0.778,0.279,0.184,0.386,0.41,0.883,0.818,0.934,0.738,0.833,0.701
yolov8-l-p6-nms0.90,490.0,0.265,0.726,0.226,0.168,0.346,0.389,0.847,0.765,0.892,0.686,0.802,0.7088
yolov8-l-p6-soft_nms0.3,140.0,0.302,0.798,0.294,0.171,0.398,0.522,0.904,0.818,0.92,0.778,0.888,0.6887
yolov8-l-p6-soft_nms0.4,210.0,0.302,0.801,0.292,0.172,0.4,0.409,0.905,0.827,0.934,0.774,0.875,0.7097
yolov8-l-p6-soft_nms0.5,250.0,0.3,0.798,0.293,0.169,0.397,0.509,0.905,0.838,0.946,0.758,0.865,0.7154
yolov8-l-p6-soft_nms0.6,230.0,0.302,0.796,0.291,0.181,0.401,0.38,0.905,0.827,0.936,0.766,0.874,0.6909
yolov8-l-p6-soft_nms0.7,250.0,0.303,0.796,0.3,0.188,0.401,0.414,0.903,0.823,0.934,0.769,0.872,0.6994
yolov8-l-p6-soft_nms0.8,330.0,0.291,0.781,0.271,0.184,0.382,0.436,0.889,0.802,0.906,0.759,0.872,0.6958
yolov8-l-p6-soft_nms0.9,450.0,0.266,0.725,0.239,0.164,0.349,0.413,0.847,0.765,0.879,0.684,0.814,0.6905
yolov8-x-neck-cbam,250.0,0.309,0.804,0.303,0.196,0.405,0.41,0.906,0.842,0.954,0.765,0.859,0.7676
yolov8-l-neck-cbam,320.0,0.301,0.808,0.276,0.198,0.394,0.372,0.912,0.837,0.936,0.778,0.888,0.8013
yolov8-s-neck-cbam,210.0,0.302,0.799,0.292,0.191,0.398,0.455,0.908,0.837,0.95,0.76,0.865,0.8416
yolov8-m-neck-cbam,270.0,0.31,0.804,0.308,0.193,0.407,0.455,0.911,0.835,0.939,0.773,0.883,0.826
yolov8-l-cbam-backbone,170.0,0.3,0.795,0.28,0.166,0.396,0.504,0.902,0.822,0.933,0.768,0.872,0.794
yolov8-l-ca-backbone,250.0,0.308,0.806,0.302,0.2,0.406,0.446,0.913,0.841,0.95,0.772,0.876,0.799
yolov8-l-ca-neck,210.0,0.307,0.797,0.301,0.167,0.403,0.451,0.906,0.82,0.934,0.775,0.877,0.8027
