name,epoch,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_s,val/coco/bbox_mAP_m,val/coco/bbox_mAP_l,val/coco/recall,val/coco/round_iou0.5_ap,val/coco/round_iou0.5_recall,val/coco/sharp_iou0.5_ap,val/coco/sharp_iou0.5_recall,gpu
yolov8-l,250.0,0.302,0.802,0.289,0.184,0.399,0.428,0.909,0.834,0.948,0.77,0.871,0.8038
yolov8-l-cbam-backbone,210.0,0.303,0.799,0.294,0.173,0.402,0.47,0.903,0.835,0.944,0.762,0.863,0.7882
yolov8-l-ca-backbone,260.0,0.308,0.803,0.302,0.178,0.406,0.445,0.907,0.837,0.941,0.769,0.873,0.804
yolov8-l-ca-neck,260.0,0.307,0.806,0.298,0.203,0.404,0.469,0.916,0.825,0.933,0.788,0.899,0.794
yolov8-l-cbam-neck,290.0,0.299,0.793,0.288,0.174,0.395,0.408,0.901,0.825,0.945,0.76,0.857,0.8059
yolov8-l-siou,270.0,0.305,0.805,0.292,0.182,0.401,0.455,0.912,0.831,0.937,0.779,0.887,0.8058
yolov8-l-giou,290.0,0.298,0.795,0.282,0.177,0.395,0.429,0.907,0.821,0.924,0.768,0.89,0.7999
yolov8-s-lr-0001,320.0,0.297,0.792,0.279,0.185,0.391,0.392,0.899,0.813,0.916,0.771,0.882,0.8422
yolov8-l-denscl-224-1.5-frozen,300.0,0.28,0.756,0.252,0.136,0.368,0.441,0.88,0.796,0.916,0.717,0.844,0.8102
yolov8-l-denscl-224-1.5-lr-0.03-SyncBN,260.0,0.312,0.808,0.317,0.204,0.412,0.497,0.909,0.847,0.955,0.769,0.863,0.8063
yolov8-l-denscl-224-1.5-lr-0.3-SyncBN,490.0,0.305,0.801,0.306,0.189,0.406,0.457,0.908,0.828,0.931,0.774,0.885,0.7947
yolov8-s-denscl-lr-frozen-1,380.0,0.459,0.828,0.453,0.265,0.476,0.572,0.977,0.838,0.986,0.818,0.969,0.8422
yolov8-s-denscl-lr-0.03,450.0,0.491,0.846,0.496,0.315,0.505,0.665,0.975,0.854,0.983,0.837,0.968,0.8409
yolov8-s-denscl-lr-0.03-frozen-1,520.0,0.475,0.829,0.481,0.276,0.493,0.642,0.968,0.844,0.981,0.813,0.955,0.8461
yolov8-s-denscl-frozen-1,450.0,0.446,0.821,0.435,0.242,0.464,0.593,0.973,0.833,0.98,0.808,0.967,0.8469
yolov8-s,360.0,0.536,0.853,0.553,0.336,0.554,0.72,0.974,0.862,0.981,0.843,0.967,0.8532
yolov8-s-siou,450.0,0.521,0.852,0.529,0.331,0.537,0.643,0.969,0.87,0.978,0.835,0.96,0.8468
yolov8-s-denscl-lr-0.3,50.0,0.313,0.668,0.247,0.144,0.34,0.276,0.955,0.728,0.957,0.607,0.954,0.8466
yolov8-s-p6-3,480.0,0.517,0.847,0.525,0.351,0.533,0.607,0.962,0.861,0.974,0.832,0.951,0.8464
yolov8-s-p5-4-32,520.0,0.535,0.851,0.543,0.355,0.551,0.67,0.959,0.865,0.967,0.837,0.951,0.8427
yolov8-s-ema-neck-last,420.0,0.523,0.854,0.54,0.322,0.54,0.676,0.966,0.867,0.977,0.841,0.955,0.8409
yolov8-s-ema-neck-mid,440.0,0.528,0.853,0.544,0.338,0.544,0.671,0.97,0.87,0.981,0.837,0.96,0.8448
yolov8-s-wiou,480.0,0.553,0.851,0.561,0.346,0.57,0.699,0.955,0.868,0.964,0.834,0.946,0.8455
yolov8-s-eiou,240.0,0.518,0.851,0.536,0.312,0.536,0.676,0.973,0.867,0.983,0.836,0.963,0.8411
yolov8-s-ema-backbone,320.0,0.543,0.859,0.562,0.327,0.561,0.704,0.969,0.874,0.977,0.843,0.962,0.8468
yolov8-s-ca-neck-last,420.0,0.553,0.853,0.568,0.338,0.571,0.697,0.957,0.871,0.967,0.835,0.947,0.8526
yolov8-s-ag-mosaic9,400.0,0.534,0.863,0.55,0.33,0.552,0.699,0.971,0.878,0.981,0.848,0.962,0.8438
yolov8-s-ag-mixup-mosaic,440.0,0.506,0.84,0.53,0.307,0.522,0.751,0.984,0.845,0.99,0.834,0.978,0.8466
yolov8-s-ag-mixup,140.0,0.565,0.896,0.585,0.376,0.581,0.66,0.976,0.906,0.981,0.885,0.97,0.8548
yolov8-s-ag-no,30.0,0.527,0.858,0.538,0.361,0.543,0.519,0.946,0.888,0.962,0.828,0.93,0.8432
